case	STCKSPN 16384	STCKST
1 BASE	2380	0
2 INT	5340	0
3 SOLVE	4840	0
4 PLOT	9092	0
5 INT INT	7676	0
6 PLOT INT	12020	0
7 PLOT SLV	11852	0
8 PLOT I I	14260	0
