case	STCKSPN 16384	STCKST	STCKSPN 52500	STCKST
1 BASE	2280	0	2000	2
2 INT	5316	0	5408	0
3 SOLVE	4840	0	4840	0
4 PLOT	8980	0	8088	1
5 INT INT	7676	0	7676	0
6 PLOT INT	8088	1	8088	1
7 PLOT SLV	8088	1	8088	1
8 PLOT I I	8088	1	8088	1
